,0,1,2,3,4
0,1224,"I was really looking forward to reading this book, especially after seeing the previews for the upcoming movie.  I must say that it is one of the worst books I have ever read and I have been an avid reader my entire life.  I couldn't relate or get attached to the main character, Jacob, except at certain points when he was elderly.  I actually felt very embarrassed for the author while reading the many squalor erotica scenes that did nothing to help me connect or care for any of the characters.  I was expecting a heartfelt romance, but the characters, including the love interest, Marlena, are so one dimensional that I found the whole thing absurd and unbelievable.  I kept trying to get into it and hoped it would get better as it went along, but no such luck.  If you must read it, try to borrow it instead of buying or see if you can pick up a cheap copy at a thrift store.  Better yet, spend your time reading something with a convincing story and engaging characters instead.",Big Disappointment,1.0,0
1,1464,"As a small town child,I always loooked forward to the circus coming to town.I thought this book would bring back memories.However,I was greatly disappointed that the author toook what should have been a good family story and infiltrated it with sexual incidents that added nothing to the story.I suppose the author was trying to make the book more ""saleable"" I would not recommend this book,most certainly not to young readers.What a ruination of what good have been a good story",Why destroy a good story,2.0,0
2,1403,"The parts of this book that dealt with the main character in old age, were very insightful and I enjoyed that.  But quite honestly had I known that it would detail the abuse of the circus animals and then also the detailed sex acts I would never had purchased this.  I wish I knew how to delete it from my Kindle.  I also wish someone else had mention this in the reviews that I saw.  I NEVER stop reading a book, but had to quit about 35% of the way thru it, it was disgusting and I am not a prude.I would never recommend this book, nor will I venture to the movie.",Wish I could delete,1.0,0
3,3233,"Extremely insulting that no one ever proof reads books after conversion to kindle format.  While the kindle edition appears to have undergone some clean up after so many negative reviews for a chapter to have ""Bearl Barbor"" as the title is beyond belief.  There are many other conversion errors with improper character recognition but I did not track those.  A few problems with hyphenation also remain where the printed edition used hyphenation as a means to word/line wrap but the after conversion to kindle the hyphen is no longer appropriate since the line wrap occurs at a different point in the line.  There are a few graphics from the printed version also scanned into the kindle edition and therefore of poor quality.  Can only imagine how bad War and Remembrance kindle edition must be since that title has been unavailable for many months while awaiting correction.",The Attack on Bearl Barbor??????????,1.0,0
4,2154,"Normally I wouldn't have picked this up. The circus is not really a topic that interests me, and cruelty to animals really upsets me. My coworker really liked this one and talked me into reading it.I tried to get into it, I really did, but this book draaagged for me and I'm not exactly sure why. Honestly I had a very hard time finishing it, and I'm usually a very quick reader.It seemed to have all the makings for a good story (A decent beginning, middle and end...love story...drama...etc etc.) Obviously there are a lot of people out there that really enjoy it. I'm glad it worked for some people. I wish I had found it as compelling as everyone else, but for whatever reason I just could *not* connect with the characters emotionally. The forbidden love story left me feeling bored, and I didn't feel all that sympathetic towards the lovers. The only character that really was interesting to me was August, the cruel/charming/abusive husband. He was definitely the highlight of the book for me.Overall, I guess I wil give it a 3. It was okay, not poorly written, and I could see it being a 5 star for some people...just not me.",Just okay for me. I didn't feel emotional connection to the characters.,3.0,0
5,1288,"I had heard this was a good book.  I was misinformed.  This was the most crude, foul book I have ever attempted to read.  Though the main story was mildly interesting, the all too frequent use of profanity and descriptions of intimate relations put me off entirely.  I started trying to use white out to cover the offensive items.  I quickly realized that would include a great deal of the book.  I decided I didn't want to fill my mind with such things and stopped reading.  This book went directly into the recycle bin rather than being donated to a thrift store.  I didn't want another unwitting person to go through the same experience I did.",Terrible -- Didn't even finish,1.0,0
6,276,"In ""An Apple a Day"" the McGill University professor Joe Schwarcz offers salient useful nutritional advice.  Eat lots of fruits and vegetables.  Meat is fine but make sure you have more whole grains on your plate.  Emphasize variety and balance in your diet.  Avoid processed foods, especially those high in fat, sugar, and salt.  Exercise.  There are no miracle foods and short cuts to a healthy diet.That's great advice that comes at page 353 of this 355-page book.  I have many issues with the structure of the book, the main being Dr. Schwarcz's decision to divide his book into easily digestible chapters tackling all the major food debates out there:  organic, genetically modified, detox, and so on.  It would have been a much better book if Dr. Schwarcz structured it around his main thesis:  that there are no short cuts to a healthy diet.Science has spent decades and billions of dollars analyzing the different components of food in the hope of distilling the magical qualities of apples and tomatoes, and selling it in a bottle.  There is no scientific basis for the overwhelming superiority of a certain vitamin, chemical, or nutritional supplement.  Quite the opposite:  eating or drinking too much of a good thing can be a bad thing.  Seeking balance, moderation, and variety in nutrition is the best and only path to good health.","Sound Argument, Badly Structured",2.0,1
7,2832,"I do enjoy the book. My issue is not with the book but with the people who altered it to suit their sensibility. If you don't like the langauge used in the book that is fine, but don't change every curse word to ""unprintable"", ""unmentionable"" because you and want you and your children to live in a bubble. You are ruining something that is perfect as it is. You lack the creative ability to create anything on your own so you believe changing curse words into clever terms makes you an artist. Whoever edited this book need be shot, and be sent back to whatever community college academic standpoint they came from where they believe the world is fair and things should all be politically correct.NEVER CHANGE THINGS TO SUIT YOUR SENSIBILITY!",Hatred for changes,1.0,0
8,616,I did not like the language or the story. I have not finished the the book and have no interest in doing so,Not finished,1.0,0
9,583,"...but I just couldn't.  Honestly, it stressed me out.  I wasn't enchanted or transported, just full of anxiety at the turn of every page.  I read a lot of books, and I review very few, but this is a book I really wanted to love and had to force myself to finish.  I was hoping for something more along the lines of ""Carter Beats the Devil"", but instead I got ""The Devil tortures Carter and his girl and Carter ends up alone in a nursing home.""  I just couldn't get behind this story.","Oh, how I wanted to love this book...",2.0,0
