,0,1,2,3,4
0,464,I haven't seen the movie (I wanted to read the book first). I loved this story line. Very entertaining and such a fanastic ending. I really enjoyed it. I can't wait to see how the movie compares.,What a great story!,5.0,1
1,3361,"This is the weakest book of his I have read, and that is about thirty MacLean novels.  I understand that he passed away prior to this book being  published and that is was compiled posthumously.  While admittedly not all  of his books are great, I don't feel this is up to snuff with any of the  others.  Don't make this your first MacLean book and unless you feel the  desire to read every one of his books like I choose to, take a pass on it.  I am unwilling to touch any of the Alistair MacNeill books written using  MacLeans notecards because I feel those are apt to be pretty weak too, and  no one ever seems to duplicate the originals.  If you are going to give a  couple of MacLean novels a try, go for &quot;Where Eagles Dare&quot;,  &quot;Puppet on a Chain&quot;, &quot;Bear Island&quot;, &amp; &quot;Ice  Station Zebra&quot;.",Not Vintage MacLean,1.0,0
2,1366,"I'm another reader who can't even begin to understand why this book was so popular, or why people rave about Gruen's writing.  I thought the writing was mediocre at best, and that the plot, narration, and dialogue were BORING!  Plus, the characters aren't very likable, and the frequent graphic sex scenes are completely unnecessary.  I tried to like this book, and I tried to finish it, but I really couldn't, on either count.",Awful Book,1.0,0
3,1076,"""Water for Elephants"" was the last Book Club selection I read, and It was not my choice. Reading it was a bit of a chore for me because upon reading a small synposis of it, I felt like I was back in high school. But like I did in school, I learned something.  I learned about what it is like to be in a circus, to know what drives someone to join a circus, especially in a different generation.  The main protagonist, Jacob Jankowksi, however, was a likable character and I liked his spunk.  Each chapter is narrated by the Old and young Jacob.  The old version would be looking back in time, thus, the next chapter would bring us to that exact moment in time when he joined, and when he met the woman he would fall in love with.  The writing at times, really didn't give me any feeling that I could not put this book down.  There is something about Ms. Gruen's writing that I just can't put into words other than: I didn't care for it, and I don't think she's a very good writer.I am a very open minded reader and am willing to try anything.  This is one book that I feel I wasted far too much time on.  I didn't even really finish it as I was still several chapters away from the end the night before our meeting.Take a look at my reviews to see some really wonderful books and see if you agree with me.Eileen F.",Not really my cup of tea,1.0,0
4,2735,"This book was for the most part far too sad. It was also so cruel firstlyto the people who were treated worse than, being starved, being murdered, having no human rights. The animal cruelty was unbearable and inhumane. I am so glad I didn't see the movie. I wish I had never read the book it was nightmarish. Although we know that these things happened its just awful to read it and feel such pain AND sorrow. I woulsnt recommend to to anybody, ever",too sad,1.0,0
5,1212,"This book was so well researched, that you are transported effortlessly  back in time with Jacob .  Upon learning that most of the incidents in the book are true, just makes this already incredible book all the more awe inspiring. It is impossible not to get caught up in Jacob's life with the circus.  The characters he encounters during his circus days are so real sometimes you think you can actually smell them, but it's his relationship with the animals, especially Rosie the elephant, that particularly touch your heart.  You won't easily forget Rosie and you'll be glad when Jacob can't either.  There is nothing more satisfying than when you finish a book and you feel like you also were part of the adventure.  I am so glad I was packed and ready.",Wonderfully researched adventure,5.0,0
6,597,"It took me approximately 8 hours over the course of a week to read this garbage, and in retrospect I can certainly  think of things I would rather have been doing for that 8 hours, like, say, setting my hair on fire or arm-wrestling a 400 lb orangutang.  I reckon those activities would have been more fun and fulfilling.This is a truly bad novel.  Truly bad.  The writing is amateurish, the dramatic tension poorly developed, the dialogue awful and the character development is shallow and one-dimensional.  I could not get over how stilted and poor the writing was.  Our newly orphaned hero, Jacob Jankowski, dropped out of Cornell before his final vet exam, jumped a train containing the Benzini Bros travelling circus, got taken on as the circus vet, instantly fell hopelessly in love with one of the married showgirls despite spending barely any time alone with her, took on a cookie-cutter baddie to boot (boo, hiss!) and survived to live happily ever after to a ripe old age.  So there's the plot outline, which initially showed some promise.  Pity Ms Gruen did very little with it that didn't come across as a below par submission to a Creative Writing 101 Workshop.  Probably one of the worst books I've read this decade.  Under no circumstances read this poor excuse for a novel.  The fact that so many reviewers have given it 5-stars is a mystery on par with the Bermuda Triangle. Is it collective hysteria? I just don't get it.",Terrible!  Truly awful.,1.0,0
7,1735,"I bought this book because it was rated so highly and it was a NaNoWriMo novel. Somehow I made it to the bit that describes the old man having a shower which is about a 1/3 the way through according to my Kindle progress bar. I don't know how. I found it so incredibly vulgar that I just couldn't keep going. I didn't even care enough about the characters or the story to skip to the last few pages to find out what happened. In fact, I wish I could erase what I did read from my head and gain back the time I wasted reading it.",Disappointed and Disgusted,1.0,0
8,1467,"Sara Gruen seems like a nice person. But this novel is total dreck. The structure reeks of baloney, the ""different"" characters are written with the same bland voice, and the whole melodramatic mess never rises above laughable soap operatics. I'd never want to take enjoyment of this kind of thing away from anyone, but if you've not read it, I'm sure there are better books about the circus out there for you.",Slop,1.0,0
9,3448,"Probably the most boring scifi book. A lot of politics, very dull and boring descriptions about Mars ecology. Many text books are more interesting reading than this book.The plot is boring. Characters are dull, annoying, and uninteresting. There is no great character development here folks. Did I mention that the book is extremely boring. Don't waste your time with it unless you are stuck in an airport with nothing else to read, actually just go to sleep, and have some rest instead of reading this book.",Very boring,1.0,0
