,0,1,2,3,4
0,3552,I love this book. I found this book on a boring summer night when i was 16. I could not put it down. I finished it in less than a week and lost it soon after that. I often thought about buying another copy  but couldnt even remember the title or the author. Im 25 now and just came across it by accident while searching on amazon. So happy. Great read. I highly recommend. Victoria holt is awesome.,perfect,5.0,0
1,2657,"Okay, first off, I had to think about this review long & hard before posting it.  Here goes...I feel cheated.  This book was so hyped up & I'm sure it had to do with the movie, which I refuse to see...but that's another story...I like the story.  I love the start & the end & for those that actually read the book...you know what I'm talking about.  For those that haven't read the book, I won't give it away.So what didn't I like?  SPOILER ALERT...stop here if you haven't read the book & plan to do so....I didn't like that the love story never really evolved.  It was just like Jake likes Marlena & she likes it...boom...now her husband knows they are in love.  WHAT?  When did that develop?  I needed more detail about their relationship & it just wasn't there.I did enjoy the history of the circus life & the life during the Depression.  I thought the Polish elephant was a riot.  I thought the old pictures from circus life back in this time period was a great addition to the book.But I really can't get over the story developement for Jake & Marlena.  Come on?  I can't be the only one who was expecting more on them??  Can I?Overall, the hype around this book was set too high.  I would not recommend this book to anyone.Guess I'll donate the book to the local library....","I'd actually like to rate it lower...too much hype, not enough detail...",1.0,0
2,3538,"For a novel about a very dirty, ugly conflict in WWII - this book is strangely woven with a humorous thread. It could have been so much more - oh well.  Not recommended. Read Circus or Guns.",Strange !!!,1.0,0
3,1119,"""Water for Elephants"" was the last Book Club selection I read, and It was not my choice. Reading it was a bit of a chore for me because upon reading a small synposis of it, I felt like I was back in high school. But like I did in school, I learned something.  I learned about what it is like to be in a circus, to know what drives someone to join a circus, especially in a different generation.  The main protagonist, Jacob Jankowksi, however, was a likable character and I liked his spunk.  Each chapter is narrated by the Old and young Jacob.  The old version would be looking back in time, thus, the next chapter would bring us to that exact moment in time when he joined, and when he met the woman he would fall in love with.  The writing at times, really didn't give me any feeling that I could not put this book down.  There is something about Ms. Gruen's writing that I just can't put into words other than: I didn't care for it, and I don't think she's a very good writer.I am a very open minded reader and am willing to try anything.  This is one book that I feel I wasted far too much time on.  I didn't even really finish it as I was still several chapters away from the end the night before our meeting.Take a look at my reviews to see some really wonderful books and see if you agree with me.Eileen F.",Not really my cup of tea,1.0,1
4,1712,"I've decided I just can't finish this book. The main character is a 23-year old male, but c'mon - I just don't appreciate some of the details the author is having him describe and they are totally unnecessary to the story. I've read almost nine chapters and decided I don't need any more images like the explicit strip scene, the details of a graphic ""8-pager"", and I certainly didn't need the picture of what the dwarf is doing alone on his cot while looking at the graphic magazine. It's a big disappointment because the story is actually interesting and I want to find out what happens but not badly enough to wade through the sludge. I don't think I've been this disappointed in a story since the ending of Angela's Ashes.",What's with the X-rated scenes?,1.0,0
5,3571,"I'll make this as short as possible...........like I wish the book would have been.  This read was easily twice as long as it needed to be.  I got halfway through, and quit.  It was so boring.  I wanted, (as always), a good story, not a tedious dialog that goes on and on about every little detail involved in colonizing a planet.  I can't believe this author is receiving accolades for this work.  He can, in no way, be compared to any of the greats in the sci-fi field.",I'm glad I only bought the first book.........,1.0,0
6,3678,"This book has been a huge disappointment.  I keep reading it hoping a real story will develop.  Yes, the science of terraforming Mars is intriguing, but all too simplistic in Robinson's account.  The characters are paper thin and for the most part ANNOYING.  The only real character is conveniently disposed of just as an actual plot was developing.  The only reason I will finish this is is out of a hope that Frank, Maya, Hiroko and the rest of the annoying lot will somehow meet a cruel and painful death at the hands of Ray Bradbury and Edgar Rice Burroughs at the end.  If you want a classic about Mars, go read Bradbury's &quot;Martian Chronicles.&quot;",Should be titled BORING Mars,1.0,0
7,2702,"boring! can't understand why so many people enjoyed reading this book, I read 1/3 of it, and just couldn't make myself to read any longer.",don't recommend it,1.0,0
8,2859,"I purchased this book based on the reviews.  The book was full of animal abuse and human abuse.  I was so disappointed in it and if you have a weak stomach with animal abuse, don't read it.",Not my cup of tea,1.0,0
9,3646,"Probably the most boring scifi book. A lot of politics, very dull and boring descriptions about Mars ecology. Many text books are more interesting reading than this book.The plot is boring. Characters are dull, annoying, and uninteresting. There is no great character development here folks. Did I mention that the book is extremely boring. Don't waste your time with it unless you are stuck in an airport with nothing else to read, actually just go to sleep, and have some rest instead of reading this book.",Very boring,1.0,0
10,2794,"My previous review disappeared, and even though it's been years since I read this garbage, I'm still so angry about the time and money wasted, I feel I must add my voice back into the mix.  I do remember being taken aback by brazen antisemitism that only one other reviewer referenced. I agree with every other 1 star reviewer and I tried to figure out how to give it 0 stars...",execrable elephant excrement,1.0,0
11,1850,"I didn't get into the characters at all, I skipped the last 100 pages and read the last chapter.",Couldn't wait to put it down!,1.0,0
12,2079,"While the writers style was captivating and interesting from the very first chapter, the book became so much more graphic and crude than was necessary.  Some things are better left to the imagination.",Unnecessary,1.0,0
