,0,1,2,3,4
0,979,"""Water for Elephants"" by Sara Gruen,  2006Ms. Gruen writes an odd story.  It is really two stories in one.  The main one is of an almost veterinarian, Jacob Jankowski, who becomes caught up in the life of a circus.  It is a romance: boy meets girl, boy loses girl, boy gets girl back (whoopee).  In the afterword the author explains that she was wanting to do a story about the photographer of circus', but she got caught up in all the rest of the circus history and it became this book.  It is worthy and good.  The second is of the same man in a nursing home, or some such place, who sort of does not belong there.  He has lived his life and remembers it well.  The instigation is the circus has come to town!!The chapters are defined by when is the story being told.  Sometimes it is now: he is old and ornery; the next one, he is remembering his life in the circus.  The value is in the perspective: as an old man, he has problems, but he deals with them, somewhat; as a young man he grows up and finds the love of his life.  It is always wonderful to read a story of love growing and becoming the be all to end all.  But real love is of the animals, horses, elephants, orangutans, chimpanzees and doing something constructive.  In the end you feel that everything is wonderful and has come out all right.The odd thing, like in some other places I have seen (""Passenger 54""), the title comes from out of the blue, once, and it is never explained or spoken of again.",the life of a circus,5.0,1
1,2768,"i totally don't understand why so many people loved this book. i earnestly tried to read it the whole way through but couldn't. the main character is completely unbelievable, and the dialogue is terrible (i find it hard to believe people spoke that way in the year this novel took place). the prose in this book had zero imagination. when i read books like this, i feel like the author is more interested in finishing than developing the work.the litany of things i hated about this book would take all day to write. i suppose if you were ever interested in read this tripe, go for it, as it seems like tons of people loved it. i hated Water for Elephants, however.",Such Poor Writing,1.0,0
2,1212,Ugh! What a total waste of time and money. I can not beleive the author relied so heavily on constant erotica. If she could have left that out it may have been a good story. Don't waste your money!,Yuck!,1.0,0
3,995,"This novel is a rambling, disjointed and thoroughly annoying depiction of a highly forgettable era in Amercan history.  The characters are flimsy, the plot is circuitous and the endless stories of animal cruelty are downright depressing.  Perhaps the one saving grace is the author's use of Jacob's character as an elderly man who is looking back on his life with hindsight.  I cannot believe there has been such a fuss about this book and that someone was foolish enough to make it into a film.  Now that will be a real flop!  If I ever see this author's name again I will move away from it as quickly as I am able.  This was just a terrible book.",Save Your Time and Money,1.0,0
4,3312,"Or worse.  Well first of all she manages to add in at the end the usual whodunnit, with the criminal being the person most trusted.  Then there is the whole being in love with the Lynx.  I just didn't think that was  realistic at all. We didn't even have the comfort of a happy ever after  end. But I'm sure plenty of readers will disagree with me and think it was  a fantastic story.",the usual,1.0,1
5,872,"The book came super fast, packaged perfectly and in perfect condition. Everything I'd expeced it to be. Could hardly believe the speed in which I received it.",Perfect!,5.0,1
6,3544,"This is the weakest book of his I have read, and that is about thirty MacLean novels.  I understand that he passed away prior to this book being  published and that is was compiled posthumously.  While admittedly not all  of his books are great, I don't feel this is up to snuff with any of the  others.  Don't make this your first MacLean book and unless you feel the  desire to read every one of his books like I choose to, take a pass on it.  I am unwilling to touch any of the Alistair MacNeill books written using  MacLeans notecards because I feel those are apt to be pretty weak too, and  no one ever seems to duplicate the originals.  If you are going to give a  couple of MacLean novels a try, go for &quot;Where Eagles Dare&quot;,  &quot;Puppet on a Chain&quot;, &quot;Bear Island&quot;, &amp; &quot;Ice  Station Zebra&quot;.",Not Vintage MacLean,1.0,0
7,114,I appreciate getting the book at the great price.  I'm really not complaining but the book was quite yellow and the jacket was torn in various places.  It looked like it was on the shelf for quite a while........Maureen,adequate,1.0,0
8,2800,"Presented through a series of flashbacks by a cantankerous nursing home patient, the story begins as Jacob Jankowski is confronted with the death of his parents.  Hastily, he drops out of school and flees to the Benzini Brothers Most Spectacular Show on Earth.  After a fair amount of drama, Jacob is offered a position as vet with the traveling circus.  What follows is, well... a circus - especially when Rosie shuffles into town...Honestly, we could go either way on this novel.  For some reason we are drawn to the enchantment of the circus, so the setting was interesting enough to keep our attention.  We thought the novel captured the spirit of the traveling circus and pulled the curtain on some of the more sleazy aspects of the business.  The treatment of the animals was at times appalling as was the practice of chucking circus workers from moving trains.In many ways, the characters were almost as entertaining as the circus.  Jacob was complex and real.  The lovely Marlena was just as intriguing and provocative in real life as she was in her animal act.  The head animal trainer was pretty much a complete jerk-bag throughout.  Rosie the Elephant was incredibly enduring and a formidable animal character.  And the bearded lady... yeesh.So why didn't we love this book? We're not sure.  It just felt like something was missing.  Maybe there was too much bitterness and anger in the narrator or maybe the relationship between Jacob and Marlena could have been developed more or maybe a high flying monkey act should have been incorporated into the performance.  Whatever the case Water for Elephants was a good book, but not great, and definitely not in our top 10 for 2011.  Finally, with Christmas right around the corner, can we please have a ginormous protective and lovable elephant for Christmas?  You can keep the hippopotamus!",What a Circus!,3.0,1
9,3597,"The reviewers are right--the amazon.com reviewers, that is.  After reading Gearald Jonas's praise for this book in the NY Times Book Review, I expected great things.  This writer has ZERO narrative skills.  Save your money.  Terrible book!",The reviewers are right.  It's the most boring novel ever!,1.0,0
10,1424,The characters in this book just seem fake. They have no real personalities. I have a hard time reading a book when the characters are so one dimensional. The story seems to be contrived because of this.,It just seems fake and doesn't keep me interested,1.0,0
11,1530,"Sara Gruen seems like a nice person. But this novel is total dreck. The structure reeks of baloney, the ""different"" characters are written with the same bland voice, and the whole melodramatic mess never rises above laughable soap operatics. I'd never want to take enjoyment of this kind of thing away from anyone, but if you've not read it, I'm sure there are better books about the circus out there for you.",Slop,1.0,0
12,2773,"Dreadful.  Judging from the first paragraph, this novel had the potential for being absorbing and a good holiday read.  I was soon only making my way through it because I had nothing else to read and I kept thinking it must get better since it came highly recommended.  If only I had had something better than this time waster: lazy plot that never seemed to go anywhere because it went in too many irrelevant directions, little firsthand knowledge of the circus, low-level vocabulary.  A waste of time on a good topic.",Dreadful,1.0,0
13,3646,"Probably the most boring scifi book. A lot of politics, very dull and boring descriptions about Mars ecology. Many text books are more interesting reading than this book.The plot is boring. Characters are dull, annoying, and uninteresting. There is no great character development here folks. Did I mention that the book is extremely boring. Don't waste your time with it unless you are stuck in an airport with nothing else to read, actually just go to sleep, and have some rest instead of reading this book.",Very boring,1.0,0
14,1109,"A sad story, beautifully told. Gruen cuts effortlessly between a faultless evocation of a seedy circus during the Depression - a grotesquerie if ever there was one -  and the modern-day life of an nonagenarian trapped in a failing body and a souless nursing home. Gruen's vivid prose and dead-on dialog transport the reader to a place and time, both physical and emotional, that does not fail to fascinate.  What in less talented hands might easily be a depressing tale of old age is animated by the spunk and wit of her main character.  My only complaint about the story is its ending, which I frankly found implausible.  But that's a minor complaint about an otherwise absorbing book.",Compelling story,3.0,1
15,2176,I would have given this book no stars but that is not an option.This book is horrendous. I cannot imagine anyone with a lick of intelligence actually enjoying this trash. I threw it away after 25 pages.,"Profane, Graphic and Vulgar",1.0,0
16,1249,I am not a big fan of books on tape.  My husband is...on long trips we listen. If you dont mind listening to an old man with wet phlegm in his throat for hours ...go for it.  Since I picked this tape based on the reviews from Amazon I suffered through 5 dvd's so far. The story is not interesting or enlightening. A bad story can be read thru rather quickly but on tape listening at a horribly slow pace....well  ...it is like water torture.,on disc 5,1.0,0
17,769,"Life's a bitch and then you get old and it's worse and then you die.  That's all you need to know, which is a good thing because this novel has left me too depressed to write any more.",tedious,1.0,0
18,2962,"""For Whom the Bell Tolls"" tells the story of young American Spanish teacher who goes to volunteer in the Spanish civil war. The entire novel takes place over 72 hours in which Robert Jordon, the young American, is responsible, as part of a bigger attack, to bomb a bridge and by that ensure that the Fascists won't be able to send reinforcements after the attack has begun. During those intense 72 hours, Robert Jordon falls in love with Maria, a Spanish girl whose family was murdered by the Fascists. (Isn't it amazing how Hemingway's characters always manage to fall in love faster than it takes one to finish smoking a cigarette?) The story follows Robert Jordon's preparations for the attack and his relationship with Maria and the guerrilla fighters who will assist him with the attack.I am fairly puzzled by this novel, which is considered by many to be Hemingway's best. It offers brilliant observations into the mind of his solider and the psychological aspects of participating in war and how Jordon copes with the hardships of it. While reading some parts of this novel, I was fully absorbed and captivated. In others, I felt it was rather long-winded. Perhaps some editing would have been handy. Although I don't think it is Hemingway's best, I do recommend it to Hemingway's fans.",Not my favorite Hemingway,3.0,0
19,1184,I managed to read half the book and then couldn't handle reading any more animal abuse. It was the worst I have ever read before. I should have known since it was written about a circus not to read it.,Animal Abuse,1.0,0
20,984,I'm just not the type to enjoy this sort of storyline.  This was my fault for taking a flyer on something that was in the movies (which I never saw) and wanted to skip Hollywood for the story directly.  Couldn't finish it -- not for me.  But saved me from seeing the screenplay).,Not for me,1.0,0
21,2497,"This was a frustrating, truly awful book. While it started off interesting (a boy's parents dies and leave him nothing, and he gets caught up with a circus), it quickly became transparent and painful. He ""falls in love"" with a girl he hardly speaks to, who is married. He reacts when he should hold back and holds back when he should act. And there are far too many random, explicit, and unnecessary sex scenes. Perhaps if the author spent less time on graphic sex and more time on character development, this book would have been more tolerable. And the ending, which I was hoping would earn the book some redemption, was terribly disappointing and infuriating.My faith in the NY Times bestseller list has been ruined.",Please tell me why this is a best-seller?,1.0,0
22,2363,"This was a Book Club selection last year and our group of seven were looking forward to enjoying a recent best-seller. None of us liked it. I thought the story about circus life was interesting but I did not like any of the characters and although I tried, could not find a redeeming quality in any of them. I also did not care much for the writing style. Had it not been for Book Club, I would have quit a quarter of the way.",Over-rated. Not sure why this became a best-seller.,1.0,0
23,3637,"Due to the hype, I bought--stupid stupid stupid!--all three of the books in this trilogy. I did finish the book, although I am not sure how I did it. Here's the storyline: Describe the landscape for 20 pages, describe in INTRICATE DETAIL what all the little widgets and gadgets that the colonists brought with them are, talk about the beautiful scenery some more, have sex, some more technical stuff, make a failing attempt to develop the characters, have sex again, etc. The back of the book talks about how the last hundred pages go at the speed of light. Sorry, but I didn't find the ending memorable at all. Then there's this hard-to-visualize part where they have an LONG elevator or something attached to one of Mars' moons. I felt like I was reading Pecos Bill and how he would lasso a tornado with his rope, only this time he's doing to a moon. Highly over-rated. See that bright red dot outside your window? I suggest you take your copy of Red Mars and throw it out the window in an attempt to knock the red planet out of the sky. No aliens, either. This book makes A Princess of Mars look good.",RED MARS = NO STARS,1.0,0
24,1466,"I lost the plot somewhere between the strip scene, the masturbating, and the detailed sex scenes.  If you like that kind of stuff this book is for you.",Trash,1.0,0
25,2952,"I do enjoy the book. My issue is not with the book but with the people who altered it to suit their sensibility. If you don't like the langauge used in the book that is fine, but don't change every curse word to ""unprintable"", ""unmentionable"" because you and want you and your children to live in a bubble. You are ruining something that is perfect as it is. You lack the creative ability to create anything on your own so you believe changing curse words into clever terms makes you an artist. Whoever edited this book need be shot, and be sent back to whatever community college academic standpoint they came from where they believe the world is fair and things should all be politically correct.NEVER CHANGE THINGS TO SUIT YOUR SENSIBILITY!",Hatred for changes,1.0,1
26,3667,"This review is not about the book, story or author - I regret buying this book on the Kindle without Text to Speech. I am a busy reader that needs to keep a story going during my commute when I can't read - and then pick up reading when I have a break - publishers should be more concerned about selling books than limiting the medium of my unabridged consumption.",No text to speech - #FAIL,1.0,0
27,760,"Water for Elephants is an interesting text because it is not especially well written, the story is pure soap opera, and yet it is an enjoyable read that at times evokes a long gone era. I think it suffers from overly effusive praise and so many readers are bitterly disappointed once they get through it.First, let's look at the strengths of the novel. I enjoyed the evocations of circus and train life. Gruen clearly spent some time working on these descriptions of circus life and there are little Depression era details that were nice historical jewels for the reader to mine. Also effective was her characterization of old Jacob. His voice was witty and biting and he provided the most pleasure of any character in the text. Chapter nineteen of the novel is the saddest depiction of rest home life I have read in literature. A man is forgotten by his family, and the scene is heartbreaking.Now to examine the reasons why this book is unsatisfying. First off the characters from the 1930s parts of the novel are some of the weakest characterizations I have seen in a book in a long time. They are stock characters at best, and the villains are the mustache twirling men from melodrama. It is hard to care about any of the characters because they are so transparently fake. Even more distracting then the weak characterization is the incredibly insipid (and modern sounding) dialogue Gruen puts in their mouths. She has such nice historical details in the setting of the text, why couldn't she also use it in the dialogue?Many readers have found the ending unsatisfying, and although it is ridiculous, it fits the novel so I won't argue with it. The cloying depiction of animals is also a little beyond the pale, but again, I simply had to come to terms with the novel for what it is. It is popular fiction. It is a melodrama you will get caught up in. And for those purposes it is adequate. Don't go into it expecting more than what it is capable of giving and you will be satisfied.",Melodrama (3.5 stars),3.0,0
