,0,1,2,3,4
0,615,This is about a circus around in the 30's. It is a good book. You would like it too. I would recomment it.,Very good book,5.0,1
1,55337,Don't bother with this book - it is truly an insult to one's intelligence - I can't beleive this trash was published as a &quot;bestseller&quot;!I had to force myself through it in the hope that one of the numerous (badly timed &amp; totally irrelevant) asides would actually have one iota of humour.You can't sympathize with the main character (or indeed give 2 hoots about ANY of the characters) because they are so transparently paper thin &amp; predictable.Don't waste your time. I know I have. This was a very disappointing offering from a usually quite talented author.,Pathetic waste of time!,1.0,0
2,32576,"I loved Divergent, but absolutely hated this book. How much torture, battering, and damage can a persons body take and never give up. Every few pages there was some new drug being shot into Tris neck and she was being battered in some way.No real story, just a lot of torture and thinking up new ways to inflict more.  And the most lame ending after wbat bappened I have ever hear. I hate a book where you feel like it is all being thought up only as it goes along and when they feel that it has gone on long enough the wind it up and a nice little bow on the last two pages. Even though it got tied up, it was a stupid ending thst was really no ending at all. I will not make the mistake of thinking that the next book will be any good either. I will not buy another one of her bookd.",Insurgent,1.0,0
3,38240,i got it and then it said not enough space i deleted samples and then ( on purpose ) got rid of the book but it said you bought it. good riddence,i want 0 nooooooo,1.0,0
4,18210,"I was quite disappointed with the Constant Princess after having LOVED The Other Boleyn Girl and The Queens' Fool and having enjoyed The Virgin's Lover (although it wasn't as good as the previous two).What can be seen as a prequel to The Other Boleyn Girl, this novel tells the story of Catalina, Infanta of Spain, Princess of Wales as she moves to England from her beloved Spain to marry Prince Arthur and eventually become the Queen of England, her lifelong goal as we are so frequently reminded. The author breaks from her usual writing style to introduce Catalina's thoughts in the form of stream-of-consciousness rants which interrupt the third person storyteller every few pages or so. It is completely distracting and did nothing but take away from the telling of the story.What could have been an extremely riviting tale became boring and monotonous- pages upon pages described simply her idolization of her parents King Ferdinand and Queen Isabella and her ""especial relationship"" with her G-d which proved she was born to be Queen of England, despite what she had to go through to claim her title.Additionally, about 2/3 of the way through the novel it shifted from a love story/hardship story to a novel about plotting and waging a war, which was utterly boring and disjointed.I hope the author can return to the greatness of her prior novels (The Other Boleyn Girl, The Queens Fool).  If her subsequent novels are going the direction of this one, I will no longer be reading them.",Skip this one but definitely read her others...,1.0,0
5,60706,"Please don't buy this book unless you don't mind 200+ pages of Anti-American, Pro-Communist diatribe! The first part of the book was okay, although I found the voice shifts irksome after a while (okay, only Adah's). Perhaps most tiresome, though, is the attempt to have the Price family be the embodiment of all whites (the Prices were especially bigoted and ignorant).(FYI, Barbara Kingsolver, not all Christians are evil missionaries. The last part of the book tries to imply that anything Christian is bad.)The second half, however, was highly annoying with it's continual Anti-American sentiment. But funny, too, because of the hypocracy of the author: (1) Just because the Congolese do things differently than Americans doesn't mean they're bad or stupid: they're just different, so don't judge. (2) Anything done the way of American norms is not Congolese and is therefore BADYOU CAN'T HAVE IT BOTH WAYS!!!Perhaps the saddest thing was that I didn't care a fig for what happened to the Price women",I'm glad I didn't pay full price!,2.0,0
6,10763,"This book is short lessons on how do deal with management issues.  Our daughter is new to management, so we got this book for her.  Both my husband and myself have profited from reading this book in the past.","Great book for the novice ""manager""",5.0,1
7,32010,"I wasn't the biggest fan of Divergent, but decided to continue with the series out of curiosity. I was less than pleased with Insurgent. While full of action and suspense, it was not always clear why certain actions were being taken. Tris was bouncing around from compound to compound throughout the novel, but in the end, I'm not sure half of that was necessary. The plot lacked continuity for me. The characters are nearly impossible to keep track of without taking notes of some sort. Almost all seemed to have originated from one faction and transferred to another, making it hard to remember who originated from where. Is it just me, or was faction switching made out to be more rare in Divergent? Suddenly all characters have switched factions. Throughout the novel, I found myself more annoyed by Tris than rooting for her. Half the time her logic was quite questionable as well. Needless to say, I was disappointed in Insurgent. Several times I contemplated shelving it for good. Perhaps it's meant for a more juvenile audience (I'm 22). I will not continue onto the third book, I've suffered enough.",Not a fan,1.0,0
8,14196,"I'm not Jewish and I don't know Yiddish at all.  Apparently, unless you have one or both of those qualifications, you may not like this book.  I've gotten far in the book but I'm waiting still to like the story or for something to happen to make me understand all the good reviews.  Seeing Mr. Chabon's tight smile on the book insert at the end seems to be trying to reassure that it will get better but I think it won't.  I am leaving a bad review b/c I think I know at this point that I will never get into the book although I understand the basic story but can't get any enjoyment out of it since I don't understand what they're really saying.",NOT CRAZY ABOUT THIS BOOK,1.0,0
9,38871,"But I found there were loooooong stretches of text that I just wanted to skip where the storytelling was so basic and uncompelling...  For example the scene at the wall of runes - which went on and on and on.  I understand the need for the backstory / background, but it was a lazy way to do it and pretty boring and lacking life...  Easy for me to say, but Terry can typically keep you entranced with his imagination and fascinating characters...  This felt like a very dumbed down book with 3 very good chunks... It starts of very well...  Then the middle and then the end - in between it was pages and pages of filler...",Flashes of Terry's Brilliance... But...,2.0,0
10,58321,Disappointing.  His characters are boring and superficial.  If there was a moral to the story I missed  it.,"A story about the boring, idle rich of the flapper era.",1.0,0
11,28201,"James Patterson is quoted as describing this book as a thriller.  I have read three quarters of it and it doesn't stack up to any other thriller I have read.  There are discordant threads that don't appear to be able to connect to each other - murder, child pornography, child on child physical abuse, etc., etc.And I assume that the story of Agnes, who gave birth in 1924, is going to connect to the contemporaneous characters of today.And the poor stone cutter!(Perhaps my views will change when I finish reading the book.)","""Thriller?""",2.0,0
12,27885,"What is great about this book, ""Lost in Shangri-La: A True Story of Survival, Adventure, and the Most Incredible Rescue Mission of World War II,"" is that it is non-fiction that reads like fiction.  I am a fiction junkie, and, sometimes, am turned off by nonfiction pieces.  They just don't hold my interest.For those readers who don't like to read non-fiction, as sometimes (unfortunately) it tends to be a bit boring, this book is for you.  The wonderful thing about fiction is that it enthralls the reader and wraps him/her up in the story. You lose time, and just wallow in the woven words.This book does the same, and has the benefit of being true.  The author, Mitchell Zuckoff, has written several non-fiction books, and after diving into this one, I'll be sure to check them out.I don't wish to rehash the plot or summarize the events (better reviewers than I already took care of that detail).  Instead, block out some time, and prepare for the journey back to 1945, to discover the improbable story of survival for yourself.  What's incredible is that this story was forgotten...forgotten by time and by man.  Rediscover it.  If you can order it via the Vine program, I recommend you do so, or wait until it is released later this year.  The pictures add so much to the story as well, and are situated throughout the entire text.Enjoy, folks.  You won't regret it.",Wonderful...what an awesome book!,5.0,1
