,0,1,2,3,4
0,615,This is about a circus around in the 30's. It is a good book. You would like it too. I would recomment it.,Very good book,5.0,1
1,55337,Don't bother with this book - it is truly an insult to one's intelligence - I can't beleive this trash was published as a &quot;bestseller&quot;!I had to force myself through it in the hope that one of the numerous (badly timed &amp; totally irrelevant) asides would actually have one iota of humour.You can't sympathize with the main character (or indeed give 2 hoots about ANY of the characters) because they are so transparently paper thin &amp; predictable.Don't waste your time. I know I have. This was a very disappointing offering from a usually quite talented author.,Pathetic waste of time!,1.0,0
2,34963,"What was Roth thinking!?! This trilogy had so much potential! She blew it. I had to drag myself through this one. Book 1 was great, book 2 was pretty good, book 3 bombed. I'm so disappointed! Bad, bad way to end this series. Ugh.",Wow. Bad Ending.,1.0,0
3,38240,i got it and then it said not enough space i deleted samples and then ( on purpose ) got rid of the book but it said you bought it. good riddence,i want 0 nooooooo,1.0,1
4,18210,"I was quite disappointed with the Constant Princess after having LOVED The Other Boleyn Girl and The Queens' Fool and having enjoyed The Virgin's Lover (although it wasn't as good as the previous two).What can be seen as a prequel to The Other Boleyn Girl, this novel tells the story of Catalina, Infanta of Spain, Princess of Wales as she moves to England from her beloved Spain to marry Prince Arthur and eventually become the Queen of England, her lifelong goal as we are so frequently reminded. The author breaks from her usual writing style to introduce Catalina's thoughts in the form of stream-of-consciousness rants which interrupt the third person storyteller every few pages or so. It is completely distracting and did nothing but take away from the telling of the story.What could have been an extremely riviting tale became boring and monotonous- pages upon pages described simply her idolization of her parents King Ferdinand and Queen Isabella and her ""especial relationship"" with her G-d which proved she was born to be Queen of England, despite what she had to go through to claim her title.Additionally, about 2/3 of the way through the novel it shifted from a love story/hardship story to a novel about plotting and waging a war, which was utterly boring and disjointed.I hope the author can return to the greatness of her prior novels (The Other Boleyn Girl, The Queens Fool).  If her subsequent novels are going the direction of this one, I will no longer be reading them.",Skip this one but definitely read her others...,1.0,0
5,42113,"Well, I think Margaret Mitchell could have used a realy good editor.  I don't mind reading long books quite the contrary I assure you, but well, one tiers of hearing yet another story about Scarlett doing something or another that gets her scorned by the people so they gossipe and Melly has to stop them.  One time is enough!The story line for those few people who do not know it is the following:  The young Scarlett O'Hara who is the favorit of all men falls in love with her friend Ashely Wilks who marries his cousin Melanie (Melly).  Scarlett wants to hurt Ashley so she marrys his brother who soon after they are married dies in the war.  Then Scarlett earns the scorne of the populus of Atlanta with her scandales behavior.Melly has a painfull childbirth and Scarlett takes her to Tara (her home) as the Yankkees march into Atlanta Georga.  To Melly this kind act of careing for her wins her undieing respect.The story continues from here but I will not.  The rest of the book centers around Scarlett and Rhett Butler and their feelings towareds eachother.I do not want to give the wronge impression it is not a bad book or even a book I disliked, it was great to read on the nine hour plane flight fom Budapest, but, after the plane ride was over and I still had 300 pages left I felt like I was wadding through quick sand to fininsh.  If I had been on the plane for about 2 and a half more hours I would not feel this way but back home where I had so many other book to read I began to look at it as a waste of time.  I am glad however that I have read it.  Though I would have certenly looked at it in a more appeling light had it been hacked down about 300 pages.",Fiddle-de-dee,3.0,0
6,10763,"This book is short lessons on how do deal with management issues.  Our daughter is new to management, so we got this book for her.  Both my husband and myself have profited from reading this book in the past.","Great book for the novice ""manager""",5.0,1
7,32010,"I wasn't the biggest fan of Divergent, but decided to continue with the series out of curiosity. I was less than pleased with Insurgent. While full of action and suspense, it was not always clear why certain actions were being taken. Tris was bouncing around from compound to compound throughout the novel, but in the end, I'm not sure half of that was necessary. The plot lacked continuity for me. The characters are nearly impossible to keep track of without taking notes of some sort. Almost all seemed to have originated from one faction and transferred to another, making it hard to remember who originated from where. Is it just me, or was faction switching made out to be more rare in Divergent? Suddenly all characters have switched factions. Throughout the novel, I found myself more annoyed by Tris than rooting for her. Half the time her logic was quite questionable as well. Needless to say, I was disappointed in Insurgent. Several times I contemplated shelving it for good. Perhaps it's meant for a more juvenile audience (I'm 22). I will not continue onto the third book, I've suffered enough.",Not a fan,1.0,1
8,14196,"I'm not Jewish and I don't know Yiddish at all.  Apparently, unless you have one or both of those qualifications, you may not like this book.  I've gotten far in the book but I'm waiting still to like the story or for something to happen to make me understand all the good reviews.  Seeing Mr. Chabon's tight smile on the book insert at the end seems to be trying to reassure that it will get better but I think it won't.  I am leaving a bad review b/c I think I know at this point that I will never get into the book although I understand the basic story but can't get any enjoyment out of it since I don't understand what they're really saying.",NOT CRAZY ABOUT THIS BOOK,1.0,1
9,28201,"James Patterson is quoted as describing this book as a thriller.  I have read three quarters of it and it doesn't stack up to any other thriller I have read.  There are discordant threads that don't appear to be able to connect to each other - murder, child pornography, child on child physical abuse, etc., etc.And I assume that the story of Agnes, who gave birth in 1924, is going to connect to the contemporaneous characters of today.And the poor stone cutter!(Perhaps my views will change when I finish reading the book.)","""Thriller?""",2.0,1
10,17329,"What a huge disappointment.  The first two were so good, but this is just the story of a bimbo, an overactive troll thingie and a blob.  Really bad.Maybe if we all get together and ask nicely we can get Koontz to rewrite the third installment?  Some one could wake up and it could all be a stupid dream...they do it on soap opera's all the time!  C'mon...why not?...really, it would be so much better.....",koontz - rewind and start again.,1.0,0
11,4155,Don't waste your time.  Stay away.  You will never get back the time you spent reading this book and life is too short.,drivel,2.0,0
12,5103,"This book series began strongly, and I was definitely hooked. I burned through the first three in probably less than 2 weeks. I love the genre, and the characters really grew on me. I wanted to know where they (and the realm) would end up.What I began noticing, however, was that George Martin's writing tends towards being a whole lot of words about nothing. No furtherance of major plot points. No grand character arcs, as those who you hold onto tightest end up being killed off for nothing. It gets to a point where you don't care about any of them anymore, because who knows a)what the overall PLOT of the book is, and b)who will even be around 5 chapters later.Gag me if I have to read 20 zillion more pages about extraneous scene descriptions. I ended up skipping pages at a time because they consisted entirely of descriptive fluff. What else made my eyes roll? All the ""turning his head and spat""s and ""bit his/her tongue so hard he/she tasted blood""s. Talk about repetitive literary tricks. It's the complete opposite of the word 'creative'. Martin's writing is cliche and tired.I feel as though I wasted my time and money with A Dance With Dragons. Absolutely nothing gets resolved; as it was in A Feast for Crows, only more questions are raised. I was a fan, but now I'm definitely a hater. Heed my review and save your money. That day/week/whatever of your life you spend reading this garbage, you will never be able to get back.",A Whole Lot of NOTHING,1.0,1
