,0,1,2,3,4
0,615,This is about a circus around in the 30's. It is a good book. You would like it too. I would recomment it.,Very good book,5.0,1
1,28566,"What a shame that this book is not better than what it is. There is some serious potential here that is hampered by poor writing and other issues. This novel is plagued with poor grammar and spelling mistakes. While normally this would not warrant a negative review, it only compounds the issue. Having to re-read sentences again to figure out what word they meant to use just takes away from the enjoyment and immersion into the story.The author tries so hard to force us to believe that the main character is such a bad person that it comes across as laughable and something from a B movie on a Saturday night. The author goes out of the way to tell you, over and over and over that this guy is bad; he goes into a tavern; and he wants to fight people; he attacks a town and wants to kill people; he wants to do bad things. Chapter after chapter we are forced to read that yes this guy does bad things. We get it, he is a bad person. Sections of the book are almost laughable in how we are told how bad he is and groan worthy in others. You get to the point that not only do you want to root for the main character; you are actually kind of rooting for hoping he gets killed, which is not what the author wants you to feel. You are supposed to believe he can be redeemed, instead, you are cheering for the wrong side for all the wrong reasons. Avoid this mess of a book.",You will root for the wrong side in this mess of a novel,1.0,0
2,38240,i got it and then it said not enough space i deleted samples and then ( on purpose ) got rid of the book but it said you bought it. good riddence,i want 0 nooooooo,1.0,0
3,18515,"I read books by teachers about their experiences teaching all the time. They are uniformly hopeful, touching, exhilarating, and intimate. And this book is the worst of the lot. It shares none of these characteristics of good teaching memoirs. It seemed as though McCourt would rather have been in a prison in Mozambique than in a classroom, would rather have been spending his time with a cockraoch than with students.Truly abysmal. Another decade of students has been lucky that McCourt found another career.",A teacher who hates teaching and hates kids,1.0,0
4,32576,"I loved Divergent, but absolutely hated this book. How much torture, battering, and damage can a persons body take and never give up. Every few pages there was some new drug being shot into Tris neck and she was being battered in some way.No real story, just a lot of torture and thinking up new ways to inflict more.  And the most lame ending after wbat bappened I have ever hear. I hate a book where you feel like it is all being thought up only as it goes along and when they feel that it has gone on long enough the wind it up and a nice little bow on the last two pages. Even though it got tied up, it was a stupid ending thst was really no ending at all. I will not make the mistake of thinking that the next book will be any good either. I will not buy another one of her bookd.",Insurgent,1.0,0
5,60706,"Please don't buy this book unless you don't mind 200+ pages of Anti-American, Pro-Communist diatribe! The first part of the book was okay, although I found the voice shifts irksome after a while (okay, only Adah's). Perhaps most tiresome, though, is the attempt to have the Price family be the embodiment of all whites (the Prices were especially bigoted and ignorant).(FYI, Barbara Kingsolver, not all Christians are evil missionaries. The last part of the book tries to imply that anything Christian is bad.)The second half, however, was highly annoying with it's continual Anti-American sentiment. But funny, too, because of the hypocracy of the author: (1) Just because the Congolese do things differently than Americans doesn't mean they're bad or stupid: they're just different, so don't judge. (2) Anything done the way of American norms is not Congolese and is therefore BADYOU CAN'T HAVE IT BOTH WAYS!!!Perhaps the saddest thing was that I didn't care a fig for what happened to the Price women",I'm glad I didn't pay full price!,2.0,0
6,45451,"Once you understand Zen, everything else flows naturally in your life. In my opinion, you don't need to be told ZEN this and ZEN that in your daily life. The author, though well-intentioned, has written a comprehensive book that in the end says the same thing thousands of times.Sit quietly for 20-minutes a day and try not to think about anything. Be compassionate to others around you, enjoy and appreciate each moment and live in the present - if you do these things, you AREpracticing ZEN. It doesn't take 300 pages to state the obvious.",Just Too Darned Intuitive,2.0,0
7,9317,"I'm not sure I've ever read a book as bad as this.  It's as if Higgins sketched out a brief plot in a couple of days to give his publisher a glimpse of a future novel, but ultimately forgot to flesh out the outline.  I feel cheated by Higgins and his publisher.  They can obviously do much better.",It's about as bad as they get,1.0,0
8,30620,"I have to agree with many other reviewers that the final, 3rd book of the series is a great disappointment. I think Roth was finished with the second book but pushed by the money mongers to write a third. The voices of Tris and Tobias are indistiguishable. The ending disappointing to be kind. Here's hoping Roth goes on to another story and writes like the first two of this series again.",Disappointment,1.0,0
9,5103,"This book series began strongly, and I was definitely hooked. I burned through the first three in probably less than 2 weeks. I love the genre, and the characters really grew on me. I wanted to know where they (and the realm) would end up.What I began noticing, however, was that George Martin's writing tends towards being a whole lot of words about nothing. No furtherance of major plot points. No grand character arcs, as those who you hold onto tightest end up being killed off for nothing. It gets to a point where you don't care about any of them anymore, because who knows a)what the overall PLOT of the book is, and b)who will even be around 5 chapters later.Gag me if I have to read 20 zillion more pages about extraneous scene descriptions. I ended up skipping pages at a time because they consisted entirely of descriptive fluff. What else made my eyes roll? All the ""turning his head and spat""s and ""bit his/her tongue so hard he/she tasted blood""s. Talk about repetitive literary tricks. It's the complete opposite of the word 'creative'. Martin's writing is cliche and tired.I feel as though I wasted my time and money with A Dance With Dragons. Absolutely nothing gets resolved; as it was in A Feast for Crows, only more questions are raised. I was a fan, but now I'm definitely a hater. Heed my review and save your money. That day/week/whatever of your life you spend reading this garbage, you will never be able to get back.",A Whole Lot of NOTHING,1.0,0
