,0,1,2,3,4
0,615,This is about a circus around in the 30's. It is a good book. You would like it too. I would recomment it.,Very good book,5.0,1
1,55337,Don't bother with this book - it is truly an insult to one's intelligence - I can't beleive this trash was published as a &quot;bestseller&quot;!I had to force myself through it in the hope that one of the numerous (badly timed &amp; totally irrelevant) asides would actually have one iota of humour.You can't sympathize with the main character (or indeed give 2 hoots about ANY of the characters) because they are so transparently paper thin &amp; predictable.Don't waste your time. I know I have. This was a very disappointing offering from a usually quite talented author.,Pathetic waste of time!,1.0,0
2,34963,"What was Roth thinking!?! This trilogy had so much potential! She blew it. I had to drag myself through this one. Book 1 was great, book 2 was pretty good, book 3 bombed. I'm so disappointed! Bad, bad way to end this series. Ugh.",Wow. Bad Ending.,1.0,1
3,5942,"I rarely able to choose the worst books of an author. But if I have to choose the worst of Christie, this one will be it. The spy story did not interest me at all. I tried to finish it, since I'm a big fan of her, but it was hard not to fall asleep.",She could do much better,1.0,0
4,18515,"I read books by teachers about their experiences teaching all the time. They are uniformly hopeful, touching, exhilarating, and intimate. And this book is the worst of the lot. It shares none of these characteristics of good teaching memoirs. It seemed as though McCourt would rather have been in a prison in Mozambique than in a classroom, would rather have been spending his time with a cockraoch than with students.Truly abysmal. Another decade of students has been lucky that McCourt found another career.",A teacher who hates teaching and hates kids,1.0,0
5,60706,"Please don't buy this book unless you don't mind 200+ pages of Anti-American, Pro-Communist diatribe! The first part of the book was okay, although I found the voice shifts irksome after a while (okay, only Adah's). Perhaps most tiresome, though, is the attempt to have the Price family be the embodiment of all whites (the Prices were especially bigoted and ignorant).(FYI, Barbara Kingsolver, not all Christians are evil missionaries. The last part of the book tries to imply that anything Christian is bad.)The second half, however, was highly annoying with it's continual Anti-American sentiment. But funny, too, because of the hypocracy of the author: (1) Just because the Congolese do things differently than Americans doesn't mean they're bad or stupid: they're just different, so don't judge. (2) Anything done the way of American norms is not Congolese and is therefore BADYOU CAN'T HAVE IT BOTH WAYS!!!Perhaps the saddest thing was that I didn't care a fig for what happened to the Price women",I'm glad I didn't pay full price!,2.0,0
6,10763,"This book is short lessons on how do deal with management issues.  Our daughter is new to management, so we got this book for her.  Both my husband and myself have profited from reading this book in the past.","Great book for the novice ""manager""",5.0,1
7,9317,"I'm not sure I've ever read a book as bad as this.  It's as if Higgins sketched out a brief plot in a couple of days to give his publisher a glimpse of a future novel, but ultimately forgot to flesh out the outline.  I feel cheated by Higgins and his publisher.  They can obviously do much better.",It's about as bad as they get,1.0,1
8,30620,"I have to agree with many other reviewers that the final, 3rd book of the series is a great disappointment. I think Roth was finished with the second book but pushed by the money mongers to write a third. The voices of Tris and Tobias are indistiguishable. The ending disappointing to be kind. Here's hoping Roth goes on to another story and writes like the first two of this series again.",Disappointment,1.0,0
9,5103,"This book series began strongly, and I was definitely hooked. I burned through the first three in probably less than 2 weeks. I love the genre, and the characters really grew on me. I wanted to know where they (and the realm) would end up.What I began noticing, however, was that George Martin's writing tends towards being a whole lot of words about nothing. No furtherance of major plot points. No grand character arcs, as those who you hold onto tightest end up being killed off for nothing. It gets to a point where you don't care about any of them anymore, because who knows a)what the overall PLOT of the book is, and b)who will even be around 5 chapters later.Gag me if I have to read 20 zillion more pages about extraneous scene descriptions. I ended up skipping pages at a time because they consisted entirely of descriptive fluff. What else made my eyes roll? All the ""turning his head and spat""s and ""bit his/her tongue so hard he/she tasted blood""s. Talk about repetitive literary tricks. It's the complete opposite of the word 'creative'. Martin's writing is cliche and tired.I feel as though I wasted my time and money with A Dance With Dragons. Absolutely nothing gets resolved; as it was in A Feast for Crows, only more questions are raised. I was a fan, but now I'm definitely a hater. Heed my review and save your money. That day/week/whatever of your life you spend reading this garbage, you will never be able to get back.",A Whole Lot of NOTHING,1.0,0
10,28201,"James Patterson is quoted as describing this book as a thriller.  I have read three quarters of it and it doesn't stack up to any other thriller I have read.  There are discordant threads that don't appear to be able to connect to each other - murder, child pornography, child on child physical abuse, etc., etc.And I assume that the story of Agnes, who gave birth in 1924, is going to connect to the contemporaneous characters of today.And the poor stone cutter!(Perhaps my views will change when I finish reading the book.)","""Thriller?""",2.0,0
11,17329,"What a huge disappointment.  The first two were so good, but this is just the story of a bimbo, an overactive troll thingie and a blob.  Really bad.Maybe if we all get together and ask nicely we can get Koontz to rewrite the third installment?  Some one could wake up and it could all be a stupid dream...they do it on soap opera's all the time!  C'mon...why not?...really, it would be so much better.....",koontz - rewind and start again.,1.0,0
12,4155,Don't waste your time.  Stay away.  You will never get back the time you spent reading this book and life is too short.,drivel,2.0,0
13,36464,"The first two books were written only from the perspective of Tris which was fine, but this book goes back and forth between the perspective of Tobias and Tris, and it's annoying. This book seems like it was written in a hurry and not as well thought out as the first two books. I have not enjoyed this one as much as the first two at all. I think she should have taken way more time writing this book and written it from ONE perspective like she did the first two books. If you liked the first two books I think you will be disappointed with this one. I know I am.",Dual perspective writing sucks,1.0,0
14,29978,I'm shocked at the ending of this book and am glad that I don't have to wait for another one to be released before getting to the ending of the story.  I'll promptly be buying the next.,It's not over,5.0,1
15,46181,"Synopsis of the book: Biochemical pathways are incredibly intricate.  I (Michael Behe) can't imagine how gradual evolution based on random mutations could have led to the formation of these pathways.  Therefore, there must be a Creator.We have heard similar arguments over and over again -- there is nothing new in this book.  Such an argument is obviously very very weak.  First of all, perhaps Michael Behe is just not imaginative/smart enough.  Furthermore, even if not a single scientist in the world can satisfactorily explain how biochemical pathways could have evolved by natural selection, it still doesn't mean that it could not have happened.  All it means is that scientists still don't know everything.BTW, I am a Bible-believing Christian, but I am also a scientist.  I firmly believe in a Creator and in the Book of Genesis, and when I finally see a book providing solid evidence against evolution based solely on natural selection, I will be the first to recommend it.  Unfortunately, it's clear that this book by Behe is bad science.  Behe is actually a respected biochemist with publications in high-profile journals (and therefore his description in this book of all those intricate biochemical events *IS* good science), but speculating the origins of life is not within his expertise.  It would be okay if Behe were only saying that he PERSONALLY doesn't believe in natural selection-based evolution, but he is now pretending that he has PROVEN it wrong with concrete scientific evidence.",Nothing new.....yawn.....,1.0,0
16,40002,"I'm sure this is probably a good story or so the jacket promises.  But, the beginning is so slow and uninteresting that I just never could get into it.  And, I usually like Tey books.",Couldn't get into it.,1.0,0
