,0,1,2,3,4
0,615,This is about a circus around in the 30's. It is a good book. You would like it too. I would recomment it.,Very good book,5.0,0
1,28566,"What a shame that this book is not better than what it is. There is some serious potential here that is hampered by poor writing and other issues. This novel is plagued with poor grammar and spelling mistakes. While normally this would not warrant a negative review, it only compounds the issue. Having to re-read sentences again to figure out what word they meant to use just takes away from the enjoyment and immersion into the story.The author tries so hard to force us to believe that the main character is such a bad person that it comes across as laughable and something from a B movie on a Saturday night. The author goes out of the way to tell you, over and over and over that this guy is bad; he goes into a tavern; and he wants to fight people; he attacks a town and wants to kill people; he wants to do bad things. Chapter after chapter we are forced to read that yes this guy does bad things. We get it, he is a bad person. Sections of the book are almost laughable in how we are told how bad he is and groan worthy in others. You get to the point that not only do you want to root for the main character; you are actually kind of rooting for hoping he gets killed, which is not what the author wants you to feel. You are supposed to believe he can be redeemed, instead, you are cheering for the wrong side for all the wrong reasons. Avoid this mess of a book.",You will root for the wrong side in this mess of a novel,1.0,0
2,38240,i got it and then it said not enough space i deleted samples and then ( on purpose ) got rid of the book but it said you bought it. good riddence,i want 0 nooooooo,1.0,0
3,18210,"I was quite disappointed with the Constant Princess after having LOVED The Other Boleyn Girl and The Queens' Fool and having enjoyed The Virgin's Lover (although it wasn't as good as the previous two).What can be seen as a prequel to The Other Boleyn Girl, this novel tells the story of Catalina, Infanta of Spain, Princess of Wales as she moves to England from her beloved Spain to marry Prince Arthur and eventually become the Queen of England, her lifelong goal as we are so frequently reminded. The author breaks from her usual writing style to introduce Catalina's thoughts in the form of stream-of-consciousness rants which interrupt the third person storyteller every few pages or so. It is completely distracting and did nothing but take away from the telling of the story.What could have been an extremely riviting tale became boring and monotonous- pages upon pages described simply her idolization of her parents King Ferdinand and Queen Isabella and her ""especial relationship"" with her G-d which proved she was born to be Queen of England, despite what she had to go through to claim her title.Additionally, about 2/3 of the way through the novel it shifted from a love story/hardship story to a novel about plotting and waging a war, which was utterly boring and disjointed.I hope the author can return to the greatness of her prior novels (The Other Boleyn Girl, The Queens Fool).  If her subsequent novels are going the direction of this one, I will no longer be reading them.",Skip this one but definitely read her others...,1.0,0
4,34963,"What was Roth thinking!?! This trilogy had so much potential! She blew it. I had to drag myself through this one. Book 1 was great, book 2 was pretty good, book 3 bombed. I'm so disappointed! Bad, bad way to end this series. Ugh.",Wow. Bad Ending.,1.0,0
5,42113,"Well, I think Margaret Mitchell could have used a realy good editor.  I don't mind reading long books quite the contrary I assure you, but well, one tiers of hearing yet another story about Scarlett doing something or another that gets her scorned by the people so they gossipe and Melly has to stop them.  One time is enough!The story line for those few people who do not know it is the following:  The young Scarlett O'Hara who is the favorit of all men falls in love with her friend Ashely Wilks who marries his cousin Melanie (Melly).  Scarlett wants to hurt Ashley so she marrys his brother who soon after they are married dies in the war.  Then Scarlett earns the scorne of the populus of Atlanta with her scandales behavior.Melly has a painfull childbirth and Scarlett takes her to Tara (her home) as the Yankkees march into Atlanta Georga.  To Melly this kind act of careing for her wins her undieing respect.The story continues from here but I will not.  The rest of the book centers around Scarlett and Rhett Butler and their feelings towareds eachother.I do not want to give the wronge impression it is not a bad book or even a book I disliked, it was great to read on the nine hour plane flight fom Budapest, but, after the plane ride was over and I still had 300 pages left I felt like I was wadding through quick sand to fininsh.  If I had been on the plane for about 2 and a half more hours I would not feel this way but back home where I had so many other book to read I began to look at it as a waste of time.  I am glad however that I have read it.  Though I would have certenly looked at it in a more appeling light had it been hacked down about 300 pages.",Fiddle-de-dee,3.0,0
6,10763,"This book is short lessons on how do deal with management issues.  Our daughter is new to management, so we got this book for her.  Both my husband and myself have profited from reading this book in the past.","Great book for the novice ""manager""",5.0,0
7,9317,"I'm not sure I've ever read a book as bad as this.  It's as if Higgins sketched out a brief plot in a couple of days to give his publisher a glimpse of a future novel, but ultimately forgot to flesh out the outline.  I feel cheated by Higgins and his publisher.  They can obviously do much better.",It's about as bad as they get,1.0,0
8,30620,"I have to agree with many other reviewers that the final, 3rd book of the series is a great disappointment. I think Roth was finished with the second book but pushed by the money mongers to write a third. The voices of Tris and Tobias are indistiguishable. The ending disappointing to be kind. Here's hoping Roth goes on to another story and writes like the first two of this series again.",Disappointment,1.0,0
9,38871,"But I found there were loooooong stretches of text that I just wanted to skip where the storytelling was so basic and uncompelling...  For example the scene at the wall of runes - which went on and on and on.  I understand the need for the backstory / background, but it was a lazy way to do it and pretty boring and lacking life...  Easy for me to say, but Terry can typically keep you entranced with his imagination and fascinating characters...  This felt like a very dumbed down book with 3 very good chunks... It starts of very well...  Then the middle and then the end - in between it was pages and pages of filler...",Flashes of Terry's Brilliance... But...,2.0,0
10,58321,Disappointing.  His characters are boring and superficial.  If there was a moral to the story I missed  it.,"A story about the boring, idle rich of the flapper era.",1.0,0
11,36420,"This is an amazing book series! There is so much depth. Pain, fear, sorrow, hate, happiness, love, and hope. It was a great feeling to go on this heartbreaking journey & still see the hope of a better tomorrow. Absolutely recommend this book!",amazing finish to a fabulous series!,5.0,1
12,4155,Don't waste your time.  Stay away.  You will never get back the time you spent reading this book and life is too short.,drivel,2.0,0
13,22295,I'm 63 and have just discovered Stuart MacBride.  Wow!  I loved this book.  It was hard to put it down long enough to sleep.  Any and everyone would enjoy this.,Great story,5.0,0
14,29978,I'm shocked at the ending of this book and am glad that I don't have to wait for another one to be released before getting to the ending of the story.  I'll promptly be buying the next.,It's not over,5.0,1
15,46181,"Synopsis of the book: Biochemical pathways are incredibly intricate.  I (Michael Behe) can't imagine how gradual evolution based on random mutations could have led to the formation of these pathways.  Therefore, there must be a Creator.We have heard similar arguments over and over again -- there is nothing new in this book.  Such an argument is obviously very very weak.  First of all, perhaps Michael Behe is just not imaginative/smart enough.  Furthermore, even if not a single scientist in the world can satisfactorily explain how biochemical pathways could have evolved by natural selection, it still doesn't mean that it could not have happened.  All it means is that scientists still don't know everything.BTW, I am a Bible-believing Christian, but I am also a scientist.  I firmly believe in a Creator and in the Book of Genesis, and when I finally see a book providing solid evidence against evolution based solely on natural selection, I will be the first to recommend it.  Unfortunately, it's clear that this book by Behe is bad science.  Behe is actually a respected biochemist with publications in high-profile journals (and therefore his description in this book of all those intricate biochemical events *IS* good science), but speculating the origins of life is not within his expertise.  It would be okay if Behe were only saying that he PERSONALLY doesn't believe in natural selection-based evolution, but he is now pretending that he has PROVEN it wrong with concrete scientific evidence.",Nothing new.....yawn.....,1.0,1
16,13661,"I read this book for school, twice. I thought it was boring. The only part I really liked was when Kate realized that she loved Nat.I wouldn't recomend this book b/c I didn't know what was happening.",A Classic to many; but not to me,1.0,0
17,20973,"I agree with the complaints about cliches, cardboard characters and repetition.  What amazed me most was Erica's being able to enter the house where the body was found.  Surely Swedish police secure the crime scene!  But wait--there's more--that house is used for the funeral reception!  No sign of SOCOs, who are an important part of any investigation.  Thus the novel is unbelievable almost immediately.Did anyone edit this book?I bought this on my Kindle based on rave press reviews and awards.  I feel cheated.",Absurd police ineptitude,1.0,0
