,0,1,2
0,Couldn't wait to put it down!,"I didn't get into the characters at all, I skipped the last 100 pages and read the last chapter.",0
1,VERY ENJOYABLE,This book was very good. I liked reading from both ages of the main character. The ending was more of a surprise since from the first page I thought it would end completely different!!!,0
2,An eye catching title with great depths.,"I never found a book that so accurately portrayed growing old and how you are treated. The story begins with life in the circus,",0
3,Walking through five miles of swamp has to be more fun.,"It was all I could do to muster the enthusiasm to read while engaged with this novel. Why? Very Technical. So much so it got into the way of the story. Disguised propaganda encased in a story? Yes. The idea of the story cloaked in this book kept me reading. If you must have the experience of pain reading this book, but do not want to read it, cut off a toe with a razor. You may feel the same after is all over.",0
4,too sad,"This book was for the most part far too sad. It was also so cruel firstlyto the people who were treated worse than, being starved, being murdered, having no human rights. The animal cruelty was unbearable and inhumane. I am so glad I didn't see the movie. I wish I had never read the book it was nightmarish. Although we know that these things happened its just awful to read it and feel such pain AND sorrow. I woulsnt recommend to to anybody, ever",1
5,Save Your Time and Money,"This novel is a rambling, disjointed and thoroughly annoying depiction of a highly forgettable era in Amercan history.  The characters are flimsy, the plot is circuitous and the endless stories of animal cruelty are downright depressing.  Perhaps the one saving grace is the author's use of Jacob's character as an elderly man who is looking back on his life with hindsight.  I cannot believe there has been such a fuss about this book and that someone was foolish enough to make it into a film.  Now that will be a real flop!  If I ever see this author's name again I will move away from it as quickly as I am able.  This was just a terrible book.",1
6,"After 2 hours of reading reviews, I am still amazed...","...that 155 people rated this as 5 star. I agree with every 1 and 2 star review: BORRRR-iiing. I have been reading for 50 years and only never finished 1 book. Now, 2. I hate this author's style of writing: pages of technobabble with scientific formulas that neither make sense to the lay reader, nor serve a purpose, followed by such minute details of irrelevant,stupid things like the page long description of the contents of a tool box. Then, there is the overuse and abuse of the word ""and"". The author must never have heard of the use of commas. All of the endless descriptions of the Martian surface being flat and dusty with the scattered rocks really helps my insomnia though. I only made it to Chapter 11, so I guess I never got far enough for all the political hoorah other reviewers referenced. I just didn't get it. I was hoping for a great story about colonizing a new world. What I got was the second worst book I have ever tried to read. I'm glad I didn't pay for this.",0
7,I don't get it...,"I was given this book by a friend that insisted that I read it, ""It was fabulous"".  I read about 100 pages of it and set it down which is something I rarely ever do.  A couple months go by and I was at a party where a couple people again said what a great book it was.  I decided I had to give it another try so I picked it back up and continued to read it.  At the end, I still don't understand the love of this book.  I didn't care for the animal brutality and I just never connected with the characters in this book.",1
8,A fun escape,"OK, it's not fine literature (so critics, would you please lighten up?), but it was lots of fun -- a glimpse into the era and life of the circus.  I honestly couldn't put it down and felt good when it ended.  Will this be on my list of all-time favorites?  No, but I appreciated the author's research into the topic; I learned something and enjoyed myself. What more could I want from a beach read?",0
9,Jacob's Wild Circus Story,"Sara Gruen spins a yarn, more than just a circus story, filled with memorable characters (not all human, some at a crucial crossroads), and highly dramatic events juxtaposed with the loneliness of old age. Near the end of his life, Jacob Jankowski finds himself reminiscing about his salad days, as painful as they might have been. He knows life is about the pleasure and the pain; you can't have one without the other (like good and evil). After a tragic loss, Jacob finds a home with a traveling circus as a veterinarian and along the way he: loses his virginity, makes some true friends, learns some valuable life lessons, and falls in love. But above all this book is about his grand love affair, how it began and how it will end. Oh, and there's an elephant named Rosie mixed in there too. I recommend this strongly. 4.5 stars.",0
10,the usual,"Or worse.  Well first of all she manages to add in at the end the usual whodunnit, with the criminal being the person most trusted.  Then there is the whole being in love with the Lynx.  I just didn't think that was  realistic at all. We didn't even have the comfort of a happy ever after  end. But I'm sure plenty of readers will disagree with me and think it was  a fantastic story.",0
11,Basically a Question of Taste,"On the simplest level, all I can say is that it didn't amuse me and I couldn't force myself to finish it. But I'm a ""hard sell"" for fiction, and I can see by the other reviews that many people loved it. Lucky them!On a slightly more analytic level, I'd say that what prevented me from enjoying the book was the ""voice"" of the narrator, who is supposed to be a man in his nineties remembering his youth in the circus. I'm a man approaching seventy, with some circus experiences as a teenager in Iowa and as the father of a circus acrobat in the Cirque de Soleil era. I found the ""voice"" of the narrator unconvincing, extremely unconvincing, as a male of the species and as a male American of the 1930s and 1940s. I couldn't get past that central implausibility. I found myself scoffing at the sensibilities of the pseudo-male narrator at every emotional turn of this quite melodramatic novel.",1
12,Over-rated. Not sure why this became a best-seller.,"This was a Book Club selection last year and our group of seven were looking forward to enjoying a recent best-seller. None of us liked it. I thought the story about circus life was interesting but I did not like any of the characters and although I tried, could not find a redeeming quality in any of them. I also did not care much for the writing style. Had it not been for Book Club, I would have quit a quarter of the way.",1
13,How many stars?!?!?!,"WOAH, I'm not sure why this book is so highly rated but I couldn't even continue reading it. Very draging and boring to me. Made it to chapter four and had to stop.",0
14,Don't Understand all the Hype,"I just finished reading this book tonight, and all I can say is that I do not understand what all the hype was about over the book/movie. I could not get into this book at all, and could not wait to finish it. If I wasn't the type of person that had to finish all the books I started, I would not have even bothered with this.",1
