Unnamed: 0,overall,reviewText,summary
718,5.0,"Everyone was talking about it last summer, and my book club decided to read it. I was very disappointed. Characters were not believable, there was too much cruelty to animals and violence here, nobody I really liked except the dwarf, and the back and forth from the young man to the nursing home got very dreary. I skipped a lot of pages because the early part was so boring.",Disappointment
731,5.0,I am one of the ones that really liked this book. I honestly chose this book because I knew the movie was coming out and wanted to read it first. I enjoyed the book better than the movie. There was much more detail. You could see the characters struggles and how they got there. I would recommend this book. It is a really fast read though.,Really Good.
448,4.0,"I expected more substance, but it's not there.  Still, reasonably well written and easily read--like (or with) a light pinot grigio.",Lightweight
802,5.0,"It was an interesting story, written well.  I have a new respect for elephants and the opposite for cruel handlers.",Good story
658,4.0,"I was given this book to borrow -- ""It is just a wonderful book."" I cannot stand mediocre writing, and for this reason I don't often read popular fiction. I pushed into it, however, hoping for the best. Just could never care at all about the characters. The old guy is grumpy and resentful. Some of the circus behind-the-scenes reporting is interesting, but much of that is pretty low-life and tawdry. Not for me. I will read the ending and report back to my friend, but I will not read the rest of it.","flat writing, not especially uplifting"
560,3.0,I did not like the language or the story. I have not finished the the book and have no interest in doing so,Not finished
643,4.0,I was really disappointed by this book. The only parts that were not too bad were the chapters where Jacob was an old man. But the circus stuff was very pedestrian. No spark to the writing. Don't waste your time.,pointless
304,5.0,its a great book and i enjoyed it as a little slow in some parts but other than that i really enjoyed it,good book
352,3.0,Chosen after reading an excerpt.  Good character descriptions. and scenes are beautifully depicted.  I felt involved in the story.  Bit of a surprise ending that leaves you wanting to stay with the main character a bit longer to see where he ends up.,Water for Elephants
378,3.0,"This book is not what I expected at all.....I guess I expected more of a love story as well as an adventure and what I got was neither. While I give the author credit for her obvious research on the era...the story was so incredibly slow!!! I kept thinking ""is this over yet??""  I wanted to like it I really did. Definitely a disappointment. I wish I thought differently.",not worth it......
309,5.0,This book was a quick read and a creative idea. But it was dry. It could and should have been elaborated on. It seemed as though the author was bored with writing it. Granted there were times of strong emotion but for the most part it was just lacking in all aspects.,"Overrated, dry"
