Item Number,overall,reviewText,summary
195,2,"You most definitely get what you pay for, these are very cheap and have already started to show signs of rusting after just a couple of months.  Also look carefully at the fork and knife, they are shaped quite differently than a regular set.  The fork also bends pretty easily which is not good when trying to eat a steak.  The spoons are also very disproportionate if you look at the little spoon it is way smaller than it appears in the picture.  I hate to say it but I was not impressed with Ikea in this case. I had to buy a whole new set to replace this one.",You get what you pay for
247,1,Not for me. It's so small (of course) and it's really only good for nuts. It pulverizes other products. I returned it with no problem.,mini-prep processor
2,4,"There is no shortage of pop recipes available for free on the web, but I purchased the ""Zoku Quick Pops"" book, because Zoku has some good recipes for fruit pops on its blog. I was hoping there were more where those came from. This book emphasizes very sweet dessert pops, however. There are 41 recipes in total, only 13 of which are fruit pops. There is a ""Fresh and Fruity"" chapter, followed by three chapters of dessert pops entitled ""I Scream for Quick Pops!"", ""Bake Shop"", and  ""Coco Loco"". As you might guess from the last one, there are 15 pop recipes that contain chocolate.Chapters on ""Tips"" and ""Techniques"" are useful. There is more detailed information about ingredients that don't freeze well in the Zoku than is found in the instruction manual. The book lists options for dairy products and sweeteners, tells you how to do different types of layers, how to add decorative fruit slices, how to do a quick shell, and how to make core pops. The pages about core pops are especially helpful, as they include recipes for pink, purple, and orange outer layers for brightly-colored core pops. The book recommends using Zoku accessory kits, but you can do without.The pop recipes tend to go out of their way to be as sweet as possible. Many, including the recipe for a vanilla base, call for vanilla pudding, where vanilla Greek yogurt would do just as well. I've substituted it with no ill effect. On the bright side, many of these recipes may appeal to children, whereas most pop books that I have seen are geared more to adults. There are flavors like ""Cookie Dough"", ""That's a S'more"", chocolate peanut butter, and peanut butter and jelly. All 9 recipes in ""Bake Shop"" are inspired by cake and cookie recipes.As a resource for light, fresh-tasting fruit pop recipes, ""Zoku Quick Pops"" is very limited. Most of the fruit recipes are gimmicky and contain too many ingredients. The recipe for Lemonade pops contains orange juice, which is fine, but the addition of vanilla extract kills the fresh fruit flavor. The recipe for mango pops includes orange, apple, banana and lemon, which are too many competing flavors. Mango and orange together make a terrific pop. The book is great for chocolate lovers and those looking for dessert pop recipes. Tips and techniques are also useful. For fruit pop recipes, ""Top Pops"" by Emily Zaiden is far better.","Excels at Sweet Dessert Pops, but Falls Short on the Fruit Pops."
225,1,"Can't chop anything well.  [Tried onions, tomatoes, celery, olives, nuts, and many other items.]  Tried 2, 4, and 8-oz loads.  Tried 1/8, 1/4, 1/2 cup loads.All you get is half mush and the other half ""as is"".I think it could ""mix"" 1/4 cup of cooked rice with a 1/2 cup of water ... but who needs that?This will be the last Cuisinart product I'll buy; their griddler, blender, and ice cream maker are poorly engineered too ... and I long ago stopped using them.","It's A Joke, Right?"
10,4,The recipes in this books are tedious to make. I found that easier and simpler recipes can be found online. I had no problem with the recipes online working in the Zoku maker.,"I liked this book, but........"
8,5,"The Zoku accessories are pricey, but the recipes have the exact amount you need to make the pops.  I have made it through 15 varieties so far, and I like them all.","If you have the Zoku maker, buy this!"
1,5,I bought this zoku quick pop for my daughterr with her zoku quick maker. She loves it and have fun to make her own ice cream.,zoku
243,1,This processor does not work.  This was a replacement for a Krupps processor and I only used it 3 times.  I had to buy a Phillips to replace it.,Does not work
6,5,"This book is so beautifully illustrated and easy to follow. It helps you to understand the Zoku better. It might have been even better if they made the recipe units for different sized molds. These recipes produce too much for a single mold unit. It would have been nice if they used a matrix for the ingredients like on a box of rice. I am just math lazy and bought a single mold Zoku. Dividing 3/4 of a cup, 3 tablespoons or 3 1/2 tablespoons is kind of dicey in my kitchen.",Beautifully illustrated recipe and instruction book for Zoku pops
115,3,"These are really cute, for the pattern. I have bought a few of these to carry birthday presents for my kids friends. They are good for lightweight use, and the Star Wars design is adorable. But as far as grocery store use / everyday use, they are not that strong of bags. TRU sells them around $3-4 each and they are just about as good enough for carrying light stuff and toys, but no heavy use or day to day use here.","Cute design, but not good for long term use."
